ID,SchYear,State,Sport,Boys_Schools,Girls_Schools,Boys_Participation,Girls_Participation
42859,2015/2016,SD,Mt. Biking,0,0,0,0
42860,2015/2016,SD,Native Youth Olympics,0,0,0,0
42861,2015/2016,SD,None,0,0,0,0
42862,2015/2016,SD,Pentathlon,0,0,0,0
42863,2015/2016,SD,Riflery,0,0,0,0
42864,2015/2016,SD,Rodeo,0,0,0,0
42865,2015/2016,SD,RUGBY,0,0,0,0
42866,2015/2016,SD,Rythmic Gymnastics,0,0,0,0
42867,2015/2016,SD,sailing,0,0,0,0
42868,2015/2016,SD,Skiing -- Alpine,0,0,0,0
42869,2015/2016,SD,Skiing -- Cross Country,0,0,0,0
42870,2015/2016,SD,Snowboarding,0,0,0,0
42871,2015/2016,SD,Soccer,28,26,680,620
42872,2015/2016,SD,Soft Tennis,0,0,0,0
42873,2015/2016,SD,Softball -- Fast Pitch,0,0,0,0
42874,2015/2016,SD,Softball -- Slow Pitch,0,0,0,0
42875,2015/2016,SD,Surfing,0,0,0,0
42876,2015/2016,SD,Swimming & Diving,0,0,0,0
42877,2015/2016,SD,Synchronized Swimming,0,0,0,0
42878,2015/2016,SD,Team Tennis,0,0,0,0
42879,2015/2016,SD,Tennis,24,22,408,254
42880,2015/2016,SD,Track and Field -- Indoor,0,0,0,0
42881,2015/2016,SD,Track and Field -- Outdoor,173,171,3409,2678
42882,2015/2016,SD,Volleyball,0,168,0,3498
42883,2015/2016,SD,Water Polo,0,0,0,0
42884,2015/2016,SD,Weight Lifting,0,0,0,0
42885,2015/2016,SD,Wrestling,109,9,1333,73
42886,2015/2016,LA,Adapted Basketball,0,0,0,0
42887,2015/2016,LA,Adapted Bowling,0,0,0,0
42888,2015/2016,LA,Adapted Floor Hockey,0,0,0,0
42889,2015/2016,LA,Adapted Soccer,0,0,0,0
42890,2015/2016,LA,Adapted Softball,0,0,0,0
42891,2015/2016,LA,Adapted Track,0,0,0,0
42892,2015/2016,LA,Air Riflery,0,0,0,0
42893,2015/2016,LA,Archery,0,0,0,0
42894,2015/2016,LA,Adapted Bocce - Indoor,0,0,0,0
42895,2015/2016,LA,Adapted Volleyball,0,0,0,0
42896,2015/2016,LA,Badminton,0,0,0,0
42897,2015/2016,LA,Baseball,345,0,8551,0
42898,2015/2016,LA,Basketball,374,376,7987,5346
42899,2015/2016,LA,Bowling,84,79,608,386
42900,2015/2016,LA,Competitive Spirit Squad,0,0,0,0
42901,2015/2016,LA,Crew,0,0,0,0
42902,2015/2016,LA,Cross Country,300,298,2949,2528
42903,2015/2016,LA,Canoe Paddling,0,0,0,0
42904,2015/2016,LA,Bocce - Outdoor,0,0,0,0
42905,2015/2016,LA,Cycling,0,0,0,0
42906,2015/2016,LA,DANCE,0,0,0,0
42907,2015/2016,LA,"Dance Team, High Kick",0,0,0,0
42908,2015/2016,LA,"Dance Team, Jazz",0,0,0,0
42909,2015/2016,LA,Dance/Drill,0,355,0,6390
42910,2015/2016,LA,Decathlon,0,0,0,0
42911,2015/2016,LA,Drill Team,0,318,0,5303
42912,2015/2016,LA,Equestrian,0,0,0,0
42913,2015/2016,LA,Fencing,0,0,0,0
42914,2015/2016,LA,Field Hockey,0,0,0,0
42915,2015/2016,LA,Flag Football,0,0,0,0
42916,2015/2016,LA,Football -- 11-Player,297,0,20540,0
42917,2015/2016,LA,Football -- 6-player,0,0,0,0
42918,2015/2016,LA,Football -- 8-player,0,0,0,0
42919,2015/2016,LA,Football -- 9-player,0,0,0,0
42920,2015/2016,LA,Golf,230,173,1111,259
42921,2015/2016,LA,Gymnastics,35,54,37,135
42922,2015/2016,LA,Heptathlon,0,0,0,0
42923,2015/2016,LA,Ice Hockey,0,0,0,0
42924,2015/2016,LA,Judo,0,0,0,0
42925,2015/2016,LA,Kayaking,0,0,0,0
42926,2015/2016,LA,Lacrosse,0,0,0,0
42927,2015/2016,LA,Mixed 6-Coed Volleyball,0,0,0,0
42928,2015/2016,LA,Mt. Biking,0,0,0,0
42929,2015/2016,LA,Native Youth Olympics,0,0,0,0
42930,2015/2016,LA,None,0,0,0,0
42931,2015/2016,LA,Pentathlon,0,0,0,0
42932,2015/2016,LA,Riflery,0,0,0,0
42933,2015/2016,LA,Rodeo,0,0,0,0
42934,2015/2016,LA,RUGBY,0,0,0,0
42935,2015/2016,LA,Rythmic Gymnastics,0,0,0,0
42936,2015/2016,LA,sailing,0,0,0,0
42937,2015/2016,LA,Skiing -- Alpine,0,0,0,0
42938,2015/2016,LA,Skiing -- Cross Country,0,0,0,0
42939,2015/2016,LA,Snowboarding,0,0,0,0
42940,2015/2016,LA,Soccer,168,165,4892,4026
42941,2015/2016,LA,Soft Tennis,0,0,0,0
42942,2015/2016,LA,Softball -- Fast Pitch,0,340,0,6156
42943,2015/2016,LA,Softball -- Slow Pitch,0,0,0,0
42944,2015/2016,LA,Surfing,0,0,0,0
42945,2015/2016,LA,Swimming & Diving,145,204,1017,1368
42946,2015/2016,LA,Synchronized Swimming,0,0,0,0
42947,2015/2016,LA,Team Tennis,0,0,0,0
42948,2015/2016,LA,Tennis,172,183,1326,1772
42949,2015/2016,LA,Track and Field -- Indoor,250,253,1644,1216
42950,2015/2016,LA,Track and Field -- Outdoor,357,363,8847,6840
42951,2015/2016,LA,Volleyball,0,206,0,4785
42952,2015/2016,LA,Water Polo,0,0,0,0
42953,2015/2016,LA,Weight Lifting,123,104,1180,736
42954,2015/2016,LA,Wrestling,92,0,1725,0
42955,2015/2016,IA,Adapted Basketball,0,0,0,0
42956,2015/2016,IA,Adapted Bowling,0,0,0,0
42957,2015/2016,IA,Adapted Floor Hockey,0,0,0,0
42958,2015/2016,IA,Adapted Soccer,0,0,0,0
42959,2015/2016,IA,Adapted Softball,0,0,0,0
42960,2015/2016,IA,Adapted Track,0,0,0,0
42961,2015/2016,IA,Air Riflery,0,0,0,0
42962,2015/2016,IA,Archery,0,0,0,0
42963,2015/2016,IA,Adapted Bocce - Indoor,0,0,0,0
42964,2015/2016,IA,Adapted Volleyball,0,0,0,0
42965,2015/2016,IA,Badminton,0,0,0,0
42966,2015/2016,IA,Baseball,365,0,11010,0
42967,2015/2016,IA,Basketball,362,359,11249,7205
42968,2015/2016,IA,Bowling,96,96,1834,1166
42969,2015/2016,IA,Competitive Spirit Squad,0,0,0,0
42970,2015/2016,IA,Crew,0,0,0,0
42971,2015/2016,IA,Cross Country,314,305,5499,4339
42972,2015/2016,IA,Canoe Paddling,0,0,0,0
42973,2015/2016,IA,Bocce - Outdoor,0,0,0,0
42974,2015/2016,IA,Cycling,0,0,0,0
42975,2015/2016,IA,DANCE,0,0,0,0
42976,2015/2016,IA,"Dance Team, High Kick",0,0,0,0
42977,2015/2016,IA,"Dance Team, Jazz",0,0,0,0
42978,2015/2016,IA,Dance/Drill,0,0,0,0
42979,2015/2016,IA,Decathlon,0,0,0,0
42980,2015/2016,IA,Drill Team,0,0,0,0
42981,2015/2016,IA,Equestrian,0,0,0,0
42982,2015/2016,IA,Fencing,0,0,0,0
42983,2015/2016,IA,Field Hockey,0,0,0,0
42984,2015/2016,IA,Flag Football,0,0,0,0
42985,2015/2016,IA,Football -- 11-Player,276,18,17829,87
42986,2015/2016,IA,Football -- 6-player,0,0,0,0
42987,2015/2016,IA,Football -- 8-player,64,5,1771,8
42988,2015/2016,IA,Football -- 9-player,0,0,0,0
42989,2015/2016,IA,Golf,329,315,5203,3003
42990,2015/2016,IA,Gymnastics,0,0,0,0
42991,2015/2016,IA,Heptathlon,0,0,0,0
42992,2015/2016,IA,Ice Hockey,0,0,0,0
42993,2015/2016,IA,Judo,0,0,0,0
42994,2015/2016,IA,Kayaking,0,0,0,0
42995,2015/2016,IA,Lacrosse,0,0,0,0
42996,2015/2016,IA,Mixed 6-Coed Volleyball,0,0,0,0
42997,2015/2016,IA,Mt. Biking,0,0,0,0
42998,2015/2016,IA,Native Youth Olympics,0,0,0,0
42999,2015/2016,IA,None,0,0,0,0
43000,2015/2016,IA,Pentathlon,0,0,0,0
43001,2015/2016,IA,Riflery,0,0,0,0
43002,2015/2016,IA,Rodeo,0,0,0,0
43003,2015/2016,IA,RUGBY,0,0,0,0
43004,2015/2016,IA,Rythmic Gymnastics,0,0,0,0
43005,2015/2016,IA,sailing,0,0,0,0
43006,2015/2016,IA,Skiing -- Alpine,0,0,0,0
43007,2015/2016,IA,Skiing -- Cross Country,0,0,0,0
43008,2015/2016,IA,Snowboarding,0,0,0,0
43009,2015/2016,IA,Soccer,152,142,6736,4902
43010,2015/2016,IA,Soft Tennis,0,0,0,0
43011,2015/2016,IA,Softball -- Fast Pitch,0,341,0,7948
43012,2015/2016,IA,Softball -- Slow Pitch,0,0,0,0
43013,2015/2016,IA,Surfing,0,0,0,0
43014,2015/2016,IA,Swimming & Diving,48,56,1619,1530
43015,2015/2016,IA,Synchronized Swimming,0,0,0,0
43016,2015/2016,IA,Team Tennis,0,0,0,0
43017,2015/2016,IA,Tennis,107,114,2629,3248
43018,2015/2016,IA,Track and Field -- Indoor,0,0,0,0
43019,2015/2016,IA,Track and Field -- Outdoor,351,351,12308,9012
